FSA,min_consumption,max_consumption,avg_consumption
P0N,2881.6,6319.7,4365.965188172043
P0P,9754.9,18867.0,13873.982661290322
P0R,5647.5,11050.5,8101.550672043011
P0S,6015.4,12055.2,8746.243548387098
P0T,8349.5,17253.6,12333.130107526882
P0V,3147.6,6288.7,4604.572177419355
P0W,1883.0,3780.5,2718.521102150537
P0X,4065.4,7746.6,5730.942204301075
P0Y,121.0,276.4,187.7322580645161
P1,487.6,1015.8,720.3422043010752
P1A,5144.4,11979.9,7973.983198924731
P1B,12071.4,25787.6,18122.137231182794
P1C,1317.6,2983.0,1986.1966397849465
P1H,8243.1,17391.1,12415.398655913978
P1L,8331.5,17202.5,12639.481182795698
P1P,6384.299999999999,12512.1,9283.278360215054
P2A,7619.0,16126.4,11565.266129032258
P2B,3756.3,7775.400000000001,5548.945295698924
P2N,2183.4,4528.6,3148.2625
P3,628.1,1377.8,947.3938172043012
P3A,7442.200000000001,16582.0,11222.406720430106
P3B,4938.200000000001,10486.0,7183.517607526881
P3C,4952.799999999999,10681.0,7362.280510752688
P3E,9635.6,20405.3,14242.572177419352
P3G,2480.6,4847.2,3518.8504032258065
P3L,2381.0,5307.0,3531.2807795698923
P3N,2338.9,5385.3,3530.6099462365587
P3P,4800.599999999999,11068.7,7330.332661290323
P3Y,1941.0,4485.1,2976.88185483871
P4N,8112.2,17335.3,12136.30188172043
P4P,911.9,2122.3,1398.1575268817203
P4R,1309.2,2742.4,1935.7111559139787
P5A,3593.8,7583.099999999999,5383.522983870967
P5E,2006.7,4385.5,3089.2510752688167
P5N,1740.9,7281.6,3585.85
P6,25098.3,55011.2,38833.21760752688
P6A,709.7,1796.1,1204.952688172043
P6B,394.5,1070.0,681.0206989247312
P6C,289.6,745.8,492.2665322580645
P7A,5612.9,13688.1,8774.876612903226
P7B,5395.7,12280.2,8289.220698924732
P7C,4583.5,11127.0,7214.502956989248
P7E,3957.0,9857.0,6258.905779569893
P7G,1144.4,2609.6,1785.3485215053763
P7J,426.2,1007.4,683.9931451612904
P7K,864.1,1999.8,1354.154435483871
P7L,482.1,1129.0,760.336559139785
P8,28.6,50.5,40.34705882352941
P8N,1585.4,3709.1,2451.778091397849
P8T,18.0,39.8,25.57916666666667
P9A,332.4,743.0999999999999,496.1091397849463
P9N,2079.2,4338.6,3056.7608870967742
