FSA,CUSTOMER_TYPE,HOUR,DATE,TOTAL_CONSUMPTION
L9G,Residential,4,2018-12-01,5737.5
L9G,Residential,4,2018-12-02,5630.3
L9G,Residential,4,2018-12-03,5953.6
L9G,Residential,4,2018-12-04,5812.3
L9G,Residential,4,2018-12-05,6297.5
L9G,Residential,4,2018-12-06,6017.2
L9G,Residential,4,2018-12-07,6282.1
L9G,Residential,4,2018-12-08,6258.3
L9G,Residential,4,2018-12-09,6344.4
L9G,Residential,4,2018-12-10,6128.0
L9G,Residential,4,2018-12-11,6059.6
L9G,Residential,4,2018-12-12,6178.0
L9G,Residential,4,2018-12-13,5957.1
L9G,Residential,4,2018-12-14,5938.6
L9G,Residential,4,2018-12-15,5702.1
L9G,Residential,4,2018-12-16,5872.4
L9G,Residential,4,2018-12-17,5818.7
L9G,Residential,4,2018-12-18,6088.1
L9G,Residential,4,2018-12-19,6336.4
L9G,Residential,4,2018-12-20,6062.1
L9G,Residential,4,2018-12-21,5855.1
L9G,Residential,4,2018-12-22,6407.9
L9G,Residential,4,2018-12-23,6461.2
L9G,Residential,4,2018-12-24,6141.0
L9G,Residential,4,2018-12-25,6453.2
L9G,Residential,4,2018-12-26,6247.5
L9G,Residential,4,2018-12-27,6243.3
L9G,Residential,4,2018-12-28,5818.4
L9G,Residential,4,2018-12-29,5766.8
L9G,Residential,4,2018-12-30,6302.8
L9G,Residential,4,2018-12-31,6142.5
L9G,Residential,5,2018-10-01,5434.4
L9G,Residential,5,2018-10-02,5449.8
L9G,Residential,5,2018-10-03,5325.8
L9G,Residential,5,2018-10-04,5232.6
L9G,Residential,5,2018-10-05,5390.5
L9G,Residential,5,2018-10-06,5215.7
L9G,Residential,5,2018-10-07,5013.3
L9G,Residential,5,2018-10-08,5048.3
L9G,Residential,5,2018-10-09,5127.8
L9G,Residential,5,2018-10-10,5560.1
L9G,Residential,5,2018-10-11,5953.0
L9G,Residential,5,2018-10-12,5093.7
L9G,Residential,5,2018-10-13,5179.5
L9G,Residential,5,2018-10-14,5278.6
L9G,Residential,5,2018-10-15,5262.5
L9G,Residential,5,2018-10-16,5754.4
L9G,Residential,5,2018-10-17,5355.6
L9G,Residential,5,2018-10-18,5813.0
L9G,Residential,5,2018-10-19,5563.7
L9G,Residential,5,2018-10-20,5550.5
L9G,Residential,5,2018-10-21,5357.2
L9G,Residential,5,2018-10-22,5601.8
L9G,Residential,5,2018-10-23,5456.5
L9G,Residential,5,2018-10-24,5673.9
L9G,Residential,5,2018-10-25,5711.1
L9G,Residential,5,2018-10-26,5552.6
L9G,Residential,5,2018-10-27,5493.7
L9G,Residential,5,2018-10-28,5554.1
L9G,Residential,5,2018-10-29,5579.0
L9G,Residential,5,2018-10-30,5835.4
L9G,Residential,5,2018-10-31,5223.7
L9G,Residential,5,2018-11-01,5369.4
L9G,Residential,5,2018-11-02,5658.6
L9G,Residential,5,2018-11-03,5452.0
L9G,Residential,5,2018-11-04,5522.1
L9G,Residential,5,2018-11-05,5179.2
L9G,Residential,5,2018-11-06,4844.6
L9G,Residential,5,2018-11-07,5053.2
L9G,Residential,5,2018-11-08,5294.3
L9G,Residential,5,2018-11-09,5292.1
