TOTAL_CONSUMPTION_API,TOTAL_CONSUMPTION_ORIG
6898.4,7380.9
6886.5,7210.4
6910.9,7098
7275.1,7141.9
7353,7360
5977.3,7870.6
5522.9,8670.1
6308.9,9507.3
6313.1,9892.8
6228.4,9978
6557.9,10091.1
6639.8,10460.6
6677.1,10100.4
6395.2,10117.9
6383,10343.3
6455.6,10688.8
6093,11902
6873,12455
6919.2,11990.2
6626.9,11533.1
6395.5,10795.6
6433.8,9786.9
6163.5,8672.9
5923.6,7676.2
6283.3,7021.9
6360.2,6615.1
5869.5,6361.3
5983.4,6410.3
6142.1,6532.1
6052.7,6868.6
5855.5,7582.7
5926.6,8496
5847.5,9030.1
5799.3,9312
5584.8,9775.9
5799.4,9938.6
5552.7,9926.9
6375.8,10021.5
6604.8,10475.1
6301.4,11389.8
5684.2,12624.2
6229.4,12715.1
6440.4,12097.6
6625.4,11655.4
6567.3,11134.8
6696.5,10077.1
6322.5,8539.4
6361.6,7255.5
6091.3,6743.8
6646.2,6552
6485.4,6533.1
6461.4,6666.3
6285.4,7238
6127.3,8151.5
6219.2,9154.5
5862.6,8635.1
5878.1,8240.6
5816.1,8113.8
5824.9,8082
5856,7884.2
5892.3,7806.5
5544.2,7755.1
6136.6,8238.4
6141.6,9576.8
5959,11305.9
6209.6,11981.1
6888.2,12124.9
6800.9,11793.9
6334.2,10963.6
6653.8,9680.4
6551.4,8265.4
6153.1,7311.2
6223.9,6904.2
6115.8,6689.9
6204.1,6634.9
6364,6801.9
6288.3,7308.9
6188.7,8216.5
6040.9,9114.8
6069.4,8535.2
6591.8,7974.6
7598.3,7765.4
9290.8,7629.8
10987.1,7544.3
10724.1,7350.3
9345.8,7306.7
7722.7,7708.6
6923.7,8922.8
6677.6,10672.7
6431.6,11555.6
6526.2,11824.3
8416.9,11762.2
8038.6,11063.9
8979.7,9837.7
9550.4,8361.2
7641.2,7359.5
6996.7,6947.1
7581.6,6713.7
10606.1,6678.8
10066,6789.9
7460.5,7269.1
6845.3,8210.4
6810.9,9116.5
6641.9,8705.7
6666.8,8409
6956.6,8364.1
8096.7,8360.9
9048.8,8200.2
9410,7824.5
10545.4,7908
11600.3,8176.9
9917.6,9063
8002.1,10671.8
7098.5,11658.2
7896.2,11748.9
9186.4,11602.5
10364.7,10925.9
9905.3,9748
10963.9,8248.1
10316.6,7335.4
11300.5,6943
12289.5,6804.3
13063.6,6799.4
11149.4,6925.4
12134.3,7467.4
11848.2,8489.6
13924.2,9362.8
13210.8,8732.7
14712,8146.3
12868.6,7992.8
9152,7749.5
8586.7,7767.2
8524.2,7693
9149.5,7787.1
10965.6,8288.3
10291.2,9210.1
11317.9,10557.6
12158.4,11444.7
10545.2,11590.9
9780,11586
9217.8,10993.4
10551.2,9703.1
9637.7,8290.2
10112.3,7342.4
11062.8,6913.3
12553.2,6735.6
12833.9,6651
9775.1,6834.9
10392.6,7278.8
9728.2,8186.3
10025,9102.6
10448.9,8765
8939.7,8356.5
8893.1,8250.5
8056.9,8165.5
7573.8,8108.6
7880.7,7930.4
8437,8146
9229.7,8573.7
10691.6,9352.2
12045.8,10770.1
9096.6,11421.1
9892.2,11310.6
9856.2,11084.9
9638,10505.5
10081.6,9569.7
8659.2,8267.2
7822,7410.5
7467.8,6832.3
7460.5,6504.8
7942.1,6393.7
9803.6,6373.4
10319.6,6616.2
9676.8,7142
11164.7,7984.7
8652.4,8807.6
8106.3,9421.7
8472.4,9704.6
8704.7,9977.5
7780.8,10364.6
7692.1,10219.2
8247,10201.5
9847.5,10277.5
8219.6,10760
8202.2,11809
7137,12201.5
6834.8,11779.7
7236.2,11148.2
7216.6,10609.7
6743.8,9717.4
6676.7,8584.5
6757.6,7628.9
6779.9,6945
7129.4,6582.2
6929.6,6520
6381.2,6540.8
6407.4,6706.2
6352.5,7120.7
6299.6,7803.3
6408.3,8763
6420.3,9369.5
6088.8,9929.6
6047.8,10281.6
6071.6,10553.3
6563.4,10667
6788.1,10670.2
6824.9,10718.5
7263.5,11361.9
7280.2,12649.4
6742.8,12811.3
5970.5,12344.7
5926.4,11884.7
5948.3,10857.3
6221.9,9582
6246.3,8062.8
6065.2,6969
5887.7,6530.1
5668.6,6273.5
5812.9,6284.7
5806.6,6489.8
5823.2,7045.9
5932.8,7993.2
6022.6,8976.8
5629.4,8328.5
5589.9,7710.2
5529.5,7484.4
5791.1,7372
6198.2,7356.9
5865.9,7211.9
5616.4,7219.7
5785.3,7543.5
5614.3,8628.9
5647.4,10287
5644.5,11400
5637,11574.7
6191.7,11460.3
5917,10932.8
5830.7,9631.6
5984.3,8135.4
5842.7,7178.7
6101.2,6809.6
6684.9,6719.6
6402.2,6633.2
6621.6,6854.4
6559.6,7373.3
6496.8,8345.7
5773.5,9181
5714.5,8607.1
5928.3,7873.9
6027.6,7585.9
5659.8,7542.1
5506.5,7279.6
5636.7,7097.7
5871.2,7435
6375,7884.3
6590.6,8822.5
6821.3,10458.5
6502.9,11210.3
6492.7,11369.1
6899.3,11277.8
6830.6,10564.8
6061.4,9467.4
6332.2,7922.2
7158.4,6921
6815.9,6450.8
6836.1,6248.5
6898.7,6176.6
6375.6,6342.3
6453.8,6801.6
6808.2,7739.2
7267.1,8558.4
6593.3,7911.7
6901.1,7244.2
7189.7,6929.2
7254.9,6820.8
6929.8,6663.7
7330.4,6547.1
7688.5,6540.1
7481.9,6930.5
7478,7777.1
7226.3,9236.4
7036.9,10372.2
7029.3,10592.2
7150.3,10600.6
7330.4,9921.4
7239,8784
7439,7327.8
7837.4,6404
7791.2,5882
7846.3,5669.2
7974.2,5593.5
