YEAR,MONTH,DAY,HOUR,TOTAL_CONSUMPTION
2018,1,23,19,11118.6
2018,1,23,20,11197.4
2018,1,23,21,11077.3
2018,1,23,22,10465.5
2018,1,23,23,9259.0
2018,1,23,24,7807.8
2018,1,24,1,6822.9
2018,1,24,2,6407.1
2018,1,24,3,6194.0
2018,1,24,4,6212.2
2018,1,24,5,6391.6
2018,1,24,6,6922.8
2018,1,24,7,7875.4
2018,1,24,8,8878.4
2018,1,24,9,8627.3
2018,1,24,10,8149.0
2018,1,24,11,7891.7
2018,1,24,12,7752.9
2018,1,24,13,7689.5
2018,1,24,14,7431.9
2018,1,24,15,7407.2
2018,1,24,16,7887.2
2018,1,24,17,9246.0
2018,1,24,18,10950.5
2018,1,24,19,11508.0
2018,1,24,20,11637.9
2018,1,24,21,11549.3
2018,1,24,22,10911.5
2018,1,24,23,9717.5
2018,1,24,24,8177.1
2018,1,25,1,7184.5
2018,1,25,2,6775.2
2018,1,25,3,6630.8
2018,1,25,4,6596.3
2018,1,25,5,6770.1
2018,1,25,6,7301.9
2018,1,25,7,8226.5
2018,1,25,8,9329.7
2018,1,25,9,8934.1
2018,1,25,10,8287.8
2018,1,25,11,7879.7
2018,1,25,12,7747.1
2018,1,25,13,7727.0
2018,1,25,14,7812.5
2018,1,25,15,8006.9
2018,1,25,16,8372.8
2018,1,25,17,9411.1
2018,1,25,18,11022.8
2018,1,25,19,11397.4
2018,1,25,20,11360.3
2018,1,25,21,11258.7
2018,1,25,22,10644.4
2018,1,25,23,9469.3
2018,1,25,24,7896.8
2018,1,26,1,6909.0
2018,1,26,2,6443.5
2018,1,26,3,6225.2
2018,1,26,4,6248.2
2018,1,26,5,6393.1
2018,1,26,6,6863.8
2018,1,26,7,7610.9
2018,1,26,8,8488.7
2018,1,26,9,8337.7
2018,1,26,10,7990.6
2018,1,26,11,7809.4
2018,1,26,12,7645.9
2018,1,26,13,7560.9
2018,1,26,14,7227.6
2018,1,26,15,7103.2
2018,1,26,16,7374.5
2018,1,26,17,8197.8
2018,1,26,18,9795.8
2018,1,26,19,10475.6
2018,1,26,20,10497.0
2018,1,26,21,10295.5
2018,1,26,22,9854.7
2018,1,26,23,8979.5
2018,1,26,24,7742.3
2018,1,27,1,6824.6
2018,1,27,2,6196.5
2018,1,27,3,5862.4
2018,1,27,4,5738.5
2018,1,27,5,5718.6
2018,1,27,6,5917.7
2018,1,27,7,6481.9
